ул. Парковая, 229 кв. 724, Тюмень, Россия, 480877
Новая площадь, 421 кв. 632, Липецк, Россия, 544346
пл. Пионерская, 177 кв. 217, Тула, Россия, 644817
улица Рабочая, 666 кв. 503, Самара, Россия, 401752
проспект Восточная, 749 кв. 984, Барнаул, Россия, 433152
Куйбышева проспект, 606 кв. 393, Пенза, Россия, 368435
Солнечная площадь, 785 кв. 999, Красноярск, Россия, 396423
площадь Парковая, 378 кв. 933, Ижевск, Россия, 468428
Степная пр., 475 кв. 809, Казань, Россия, 153215
площадь Шевченко, 969 кв. 341, Самара, Россия, 808882
проспект речень улиц, 569 кв. 279, Иваново, Россия, 588366
проспект Строителей, 921 кв. 207, Киров, Россия, 448831
Подгорная ул., 918 кв. 705, Астрахань, Россия, 113343
Кирова пл., 524 кв. 187, Киров, Россия, 694486
улица Победы, 741 кв. 287, Новосибирск, Россия, 906641
Парковая пр., 889 кв. 572, Чебоксары, Россия, 671046
улица Дзержинского, 693 кв. 256, Челябинск, Россия, 376865
пр. Маяковского, 111 кв. 567, Тюмень, Россия, 933490
Зеленая улица, 272 кв. 800, Новосибирск, Россия, 207280
Трактовая улица, 625 кв. 716, Брянск, Россия, 530848
Центральная пл., 621 кв. 219, Тула, Россия, 997292
8 Марта пр., 415 кв. 893, Краснодар, Россия, 806237
Дзержинского пр., 318 кв. 173, Москва, Россия, 569817
пл. Озерная, 672 кв. 136, Липецк, Россия, 499940
пр. Лесной, 432 кв. 124, Краснодар, Россия, 451247
Суворова ул., 443 кв. 856, Новосибирск, Россия, 484719
Садовый проспект, 546 кв. 790, Пермь, Россия, 633382
Советская ул., 778 кв. 369, Пенза, Россия, 102978
ул. Колхозная, 395 кв. 640, Санкт-Петербург, Россия, 307092
пр. Школьная, 490 кв. 115, Тюмень, Россия, 252147
Пионерская площадь, 200 кв. 595, Ставрополь, Россия, 379957
Трактовая улица, 752 кв. 505, Оренбург, Россия, 527330
Горького пр., 699 кв. 439, Курск, Россия, 581372
пл. Мира, 311 кв. 844, Воронеж, Россия, 233217
